# r1_0,r1_1,r2_0,r2_1,y1_0,y1_1,y2_0,y2_1
-4.450399999999999912e-01,-6.129099999999999548e-01,-1.241600000000000065e-01,1.623699999999999866e-01,1.165300000000000002e+00,-4.898899999999999921e-01,1.051700000000000079e+00,-1.256799999999999917e+00
-6.129099999999999548e-01,-2.091399999999999926e-01,1.623699999999999866e-01,7.488299999999999956e-01,-4.898899999999999921e-01,8.920000000000000151e-01,-1.256799999999999917e+00,4.949000000000000066e-01
-2.091399999999999926e-01,5.621500000000000385e-01,7.488299999999999956e-01,-5.067800000000000082e-02,8.920000000000000151e-01,1.233100000000000085e+00,4.949000000000000066e-01,6.611700000000000355e-01
5.621500000000000385e-01,-1.063900000000000068e+00,-5.067800000000000082e-02,2.298000000000000043e-01,1.233100000000000085e+00,7.606600000000000028e-01,6.611700000000000355e-01,-8.016299999999999815e-02
-1.063900000000000068e+00,3.515900000000000136e-01,2.298000000000000043e-01,4.742500000000000049e-01,7.606600000000000028e-01,-1.474199999999999955e-01,-8.016299999999999815e-02,1.281200000000000117e-01
3.515900000000000136e-01,1.133000000000000007e+00,4.742500000000000049e-01,-3.814899999999999958e-01,-1.474199999999999955e-01,1.819700000000000095e+00,1.281200000000000117e-01,1.205899999999999972e+00
1.133000000000000007e+00,1.499900000000000122e-01,-3.814899999999999958e-01,-2.237800000000000011e+00,1.819700000000000095e+00,-1.250100000000000100e-01,1.205899999999999972e+00,-2.732800000000000073e-03
1.499900000000000122e-01,7.031399999999999872e-01,-2.237800000000000011e+00,-1.202700000000000019e-01,-1.250100000000000100e-01,-2.614799999999999791e+00,-2.732800000000000073e-03,-1.711899999999999977e+00
7.031399999999999872e-01,-5.241200000000000025e-02,-1.202700000000000019e-01,-1.782100000000000017e+00,-2.614799999999999791e+00,1.736199999999999966e-01,-1.711899999999999977e+00,8.494199999999999529e-01
-5.241200000000000025e-02,2.018499999999999961e+00,-1.782100000000000017e+00,2.464300000000000102e-01,1.736199999999999966e-01,-3.475299999999999834e+00,8.494199999999999529e-01,-2.070800000000000196e+00
2.018499999999999961e+00,9.241599999999999815e-01,2.464300000000000102e-01,-1.056300000000000017e+00,-3.475299999999999834e+00,1.200399999999999912e+00,-2.070800000000000196e+00,2.147200000000000220e+00
9.241599999999999815e-01,-1.814100000000000046e+00,-1.056300000000000017e+00,1.135799999999999921e+00,1.200399999999999912e+00,-4.028599999999999959e+00,2.147200000000000220e+00,-2.891099999999999781e+00
