# r1_0,r1_1,r1_2,r1_3,r1_4,r2_0,r2_1,r2_2,r2_3,r2_4,y1_0,y1_1,y1_2,y1_3,y1_4,y2_0,y2_1,y2_2,y2_3,y2_4
1.165999999999999925e+00,-5.693399999999999572e-01,-8.585800000000000098e-01,6.282499999999999751e-01,-1.296399999999999997e+00,1.165999999999999925e+00,-5.693399999999999572e-01,-8.585800000000000098e-01,6.282499999999999751e-01,-1.296399999999999997e+00,3.237400000000000055e+00,-7.137299999999999756e-01,-1.621599999999999930e+00,-1.194299999999999917e+00,1.286899999999999933e+00,3.497199999999999864e+00,2.112199999999999911e-01,-9.521600000000000064e-01,-7.779099999999999904e-01,6.679699999999999527e-01
-5.693399999999999572e-01,-8.585800000000000098e-01,6.282499999999999751e-01,-1.296399999999999997e+00,-4.695199999999999929e-01,-5.693399999999999572e-01,-8.585800000000000098e-01,6.282499999999999751e-01,-1.296399999999999997e+00,-4.695199999999999929e-01,-7.137299999999999756e-01,-1.621599999999999930e+00,-1.194299999999999917e+00,1.286899999999999933e+00,-2.792499999999999982e+00,2.112199999999999911e-01,-9.521600000000000064e-01,-7.779099999999999904e-01,6.679699999999999527e-01,-2.621500000000000163e+00
-8.585800000000000098e-01,6.282499999999999751e-01,-1.296399999999999997e+00,-4.695199999999999929e-01,4.020500000000000185e-01,-8.585800000000000098e-01,6.282499999999999751e-01,-1.296399999999999997e+00,-4.695199999999999929e-01,4.020500000000000185e-01,-1.621599999999999930e+00,-1.194299999999999917e+00,1.286899999999999933e+00,-2.792499999999999982e+00,1.178900000000000059e+00,-9.521600000000000064e-01,-7.779099999999999904e-01,6.679699999999999527e-01,-2.621500000000000163e+00,6.022100000000000231e-01
6.282499999999999751e-01,-1.296399999999999997e+00,-4.695199999999999929e-01,4.020500000000000185e-01,1.129099999999999993e+00,6.282499999999999751e-01,-1.296399999999999997e+00,-4.695199999999999929e-01,4.020500000000000185e-01,1.129099999999999993e+00,-1.194299999999999917e+00,1.286899999999999933e+00,-2.792499999999999982e+00,1.178900000000000059e+00,5.001200000000000090e-01,-7.779099999999999904e-01,6.679699999999999527e-01,-2.621500000000000163e+00,6.022100000000000231e-01,4.875599999999999934e-01
-1.296399999999999997e+00,-4.695199999999999929e-01,4.020500000000000185e-01,1.129099999999999993e+00,-4.457699999999999996e-01,-1.296399999999999997e+00,-4.695199999999999929e-01,4.020500000000000185e-01,1.129099999999999993e+00,-4.457699999999999996e-01,1.286899999999999933e+00,-2.792499999999999982e+00,1.178900000000000059e+00,5.001200000000000090e-01,1.661100000000000021e+00,6.679699999999999527e-01,-2.621500000000000163e+00,6.022100000000000231e-01,4.875599999999999934e-01,1.463100000000000067e+00
-4.695199999999999929e-01,4.020500000000000185e-01,1.129099999999999993e+00,-4.457699999999999996e-01,4.055799999999999961e-01,-4.695199999999999929e-01,4.020500000000000185e-01,1.129099999999999993e+00,-4.457699999999999996e-01,4.055799999999999961e-01,-2.792499999999999982e+00,1.178900000000000059e+00,5.001200000000000090e-01,1.661100000000000021e+00,-1.786799999999999944e+00,-2.621500000000000163e+00,6.022100000000000231e-01,4.875599999999999934e-01,1.463100000000000067e+00,-1.120200000000000085e+00
4.020500000000000185e-01,1.129099999999999993e+00,-4.457699999999999996e-01,4.055799999999999961e-01,-1.830900000000000027e-01,4.020500000000000185e-01,1.129099999999999993e+00,-4.457699999999999996e-01,4.055799999999999961e-01,-1.830900000000000027e-01,1.178900000000000059e+00,5.001200000000000090e-01,1.661100000000000021e+00,-1.786799999999999944e+00,1.368900000000000006e+00,6.022100000000000231e-01,4.875599999999999934e-01,1.463100000000000067e+00,-1.120200000000000085e+00,1.209699999999999998e+00
1.129099999999999993e+00,-4.457699999999999996e-01,4.055799999999999961e-01,-1.830900000000000027e-01,8.461200000000000665e-02,1.129099999999999993e+00,-4.457699999999999996e-01,4.055799999999999961e-01,-1.830900000000000027e-01,8.461200000000000665e-02,5.001200000000000090e-01,1.661100000000000021e+00,-1.786799999999999944e+00,1.368900000000000006e+00,-1.285800000000000054e+00,4.875599999999999934e-01,1.463100000000000067e+00,-1.120200000000000085e+00,1.209699999999999998e+00,-9.208100000000000174e-01
-4.457699999999999996e-01,4.055799999999999961e-01,-1.830900000000000027e-01,8.461200000000000665e-02,2.050899999999999945e-01,-4.457699999999999996e-01,4.055799999999999961e-01,-1.830900000000000027e-01,8.461200000000000665e-02,2.050899999999999945e-01,1.661100000000000021e+00,-1.786799999999999944e+00,1.368900000000000006e+00,-1.285800000000000054e+00,6.534999999999999698e-01,1.463100000000000067e+00,-1.120200000000000085e+00,1.209699999999999998e+00,-9.208100000000000174e-01,6.706299999999999484e-01
4.055799999999999961e-01,-1.830900000000000027e-01,8.461200000000000665e-02,2.050899999999999945e-01,-1.057500000000000107e+00,4.055799999999999961e-01,-1.830900000000000027e-01,8.461200000000000665e-02,2.050899999999999945e-01,-1.057500000000000107e+00,-1.786799999999999944e+00,1.368900000000000006e+00,-1.285800000000000054e+00,6.534999999999999698e-01,-2.217999999999999972e-01,-1.120200000000000085e+00,1.209699999999999998e+00,-9.208100000000000174e-01,6.706299999999999484e-01,-4.394500000000000073e-01
