# r1_0,r1_1,r1_2,r1_3,r1_4,r2_0,r2_1,r2_2,r2_3,r2_4,y1_0,y1_1,y1_2,y1_3,y1_4,y2_0,y2_1,y2_2,y2_3,y2_4
-2.041299999999999799e-03,1.606500000000000039e+00,8.476500000000000146e-01,2.681000000000000050e-01,-9.234900000000000331e-01,-5.037099999999999911e-01,1.553199999999999914e+00,3.207999999999999741e-01,-1.926799999999999902e-01,1.557900000000000063e+00,-2.091800000000000104e+00,7.356300000000000061e-01,2.232099999999999973e+00,-8.130500000000000504e-01,-6.079200000000000159e-01,-2.090100000000000069e+00,5.008899999999999464e-01,2.225200000000000067e+00,-7.372299999999999687e-02,1.566599999999999937e-01
1.606500000000000039e+00,8.476500000000000146e-01,2.681000000000000050e-01,-9.234900000000000331e-01,-7.049900000000000611e-02,1.553199999999999914e+00,3.207999999999999741e-01,-1.926799999999999902e-01,1.557900000000000063e+00,5.663200000000000178e-02,7.356300000000000061e-01,2.232099999999999973e+00,-8.130500000000000504e-01,-6.079200000000000159e-01,5.915900000000000325e-02,5.008899999999999464e-01,2.225200000000000067e+00,-7.372299999999999687e-02,1.566599999999999937e-01,6.603400000000000380e-01
8.476500000000000146e-01,2.681000000000000050e-01,-9.234900000000000331e-01,-7.049900000000000611e-02,1.478899999999999937e-01,3.207999999999999741e-01,-1.926799999999999902e-01,1.557900000000000063e+00,5.663200000000000178e-02,-1.224399999999999933e+00,2.232099999999999973e+00,-8.130500000000000504e-01,-6.079200000000000159e-01,5.915900000000000325e-02,2.298699999999999910e-01,2.225200000000000067e+00,-7.372299999999999687e-02,1.566599999999999937e-01,6.603400000000000380e-01,-4.031000000000000139e-01
2.681000000000000050e-01,-9.234900000000000331e-01,-7.049900000000000611e-02,1.478899999999999937e-01,-5.570899999999999741e-01,-1.926799999999999902e-01,1.557900000000000063e+00,5.663200000000000178e-02,-1.224399999999999933e+00,6.515500000000000458e-02,-8.130500000000000504e-01,-6.079200000000000159e-01,5.915900000000000325e-02,2.298699999999999910e-01,-9.020299999999999985e-01,-7.372299999999999687e-02,1.566599999999999937e-01,6.603400000000000380e-01,-4.031000000000000139e-01,-8.404399999999999649e-01
-9.234900000000000331e-01,-7.049900000000000611e-02,1.478899999999999937e-01,-5.570899999999999741e-01,-3.367100000000000093e-01,1.557900000000000063e+00,5.663200000000000178e-02,-1.224399999999999933e+00,6.515500000000000458e-02,-1.094799999999999995e+00,-6.079200000000000159e-01,5.915900000000000325e-02,2.298699999999999910e-01,-9.020299999999999985e-01,-1.328699999999999881e-01,1.566599999999999937e-01,6.603400000000000380e-01,-4.031000000000000139e-01,-8.404399999999999649e-01,1.748100000000000001e-02
-7.049900000000000611e-02,1.478899999999999937e-01,-5.570899999999999741e-01,-3.367100000000000093e-01,4.152299999999999880e-01,5.663200000000000178e-02,-1.224399999999999933e+00,6.515500000000000458e-02,-1.094799999999999995e+00,-1.069399999999999906e+00,5.915900000000000325e-02,2.298699999999999910e-01,-9.020299999999999985e-01,-1.328699999999999881e-01,-1.061099999999999932e+00,6.603400000000000380e-01,-4.031000000000000139e-01,-8.404399999999999649e-01,1.748100000000000001e-02,-1.465400000000000036e+00
1.478899999999999937e-01,-5.570899999999999741e-01,-3.367100000000000093e-01,4.152299999999999880e-01,1.557800000000000074e+00,-1.224399999999999933e+00,6.515500000000000458e-02,-1.094799999999999995e+00,-1.069399999999999906e+00,2.165700000000000125e-01,2.298699999999999910e-01,-9.020299999999999985e-01,-1.328699999999999881e-01,-1.061099999999999932e+00,-1.103800000000000059e-01,-4.031000000000000139e-01,-8.404399999999999649e-01,1.748100000000000001e-02,-1.465400000000000036e+00,-1.524800000000000044e-01
-5.570899999999999741e-01,-3.367100000000000093e-01,4.152299999999999880e-01,1.557800000000000074e+00,-2.444300000000000139e+00,6.515500000000000458e-02,-1.094799999999999995e+00,-1.069399999999999906e+00,2.165700000000000125e-01,-7.726300000000000390e-01,-9.020299999999999985e-01,-1.328699999999999881e-01,-1.061099999999999932e+00,-1.103800000000000059e-01,8.492699999999999694e-01,-8.404399999999999649e-01,1.748100000000000001e-02,-1.465400000000000036e+00,-1.524800000000000044e-01,1.151599999999999957e+00
-3.367100000000000093e-01,4.152299999999999880e-01,1.557800000000000074e+00,-2.444300000000000139e+00,-1.098200000000000065e+00,-1.094799999999999995e+00,-1.069399999999999906e+00,2.165700000000000125e-01,-7.726300000000000390e-01,-8.308600000000000430e-01,-1.328699999999999881e-01,-1.061099999999999932e+00,-1.103800000000000059e-01,8.492699999999999694e-01,-4.264700000000000379e+00,1.748100000000000001e-02,-1.465400000000000036e+00,-1.524800000000000044e-01,1.151599999999999957e+00,-3.207399999999999807e+00
4.152299999999999880e-01,1.557800000000000074e+00,-2.444300000000000139e+00,-1.098200000000000065e+00,1.122600000000000042e+00,-1.069399999999999906e+00,2.165700000000000125e-01,-7.726300000000000390e-01,-8.308600000000000430e-01,9.619799999999999462e-01,-1.061099999999999932e+00,-1.103800000000000059e-01,8.492699999999999694e-01,-4.264700000000000379e+00,9.689999999999999725e-01,-1.465400000000000036e+00,-1.524800000000000044e-01,1.151599999999999957e+00,-3.207399999999999807e+00,-2.725199999999999845e-01
